mal_id,title,type,episodes,score,popularity,rank,status,genre
91,Shin Kidou Senki Gundam Wing: Endless Waltz,OVA,3.0,7.73,3417,1246.0,Finished Airing,Action
92,Kidou Shinseiki Gundam X,TV,39.0,7.34,3931,2721.0,Finished Airing,Action
93,Kidou Senshi Gundam SEED,TV,50.0,7.74,1455,1226.0,Finished Airing,Action
94,Kidou Senshi Gundam SEED Destiny,TV,50.0,7.17,2110,3618.0,Finished Airing,Action
95,Turn A Gundam,TV,50.0,7.8,3308,1087.0,Finished Airing,Action
96,Kidou Butouden G Gundam,TV,49.0,7.58,2782,1716.0,Finished Airing,Action
97,Last Exile,TV,26.0,7.78,1444,1121.0,Finished Airing,Action
98,Mai-HiME,TV,26.0,7.39,2037,2474.0,Finished Airing,Action
99,Mai-Otome,TV,26.0,7.27,3323,3051.0,Finished Airing,Comedy
100,Shin Shirayuki-hime Densetsu Prétear,TV,13.0,7.15,2926,3734.0,Finished Airing,Drama
101,Air,TV,12.0,7.27,880,3074.0,Finished Airing,Drama
102,Aishiteruze Baby★★,TV,26.0,7.43,2209,2296.0,Finished Airing,Comedy
103,Akazukin Chacha,TV,74.0,7.41,5586,2379.0,Finished Airing,Adventure
104,Ayashi no Ceres,TV,24.0,7.17,2982,3601.0,Finished Airing,Adventure
105,Boys Be...,TV,13.0,6.38,4831,7998.0,Finished Airing,Comedy
106,Hana yori Dango,TV,51.0,7.57,2972,1761.0,Finished Airing,Drama
107,Ou Dorobou Jing,TV,13.0,7.17,3916,3632.0,Finished Airing,Adventure
108,Ou Dorobou Jing in Seventh Heaven,OVA,3.0,7.23,6152,3300.0,Finished Airing,Adventure
109,Bakuretsu Tenshi,TV,24.0,6.77,2762,5626.0,Finished Airing,Action
110,Chuuka Ichiban!,TV,52.0,7.59,5165,1665.0,Finished Airing,Action
111,Corrector Yui,TV,52.0,6.86,5441,5159.0,Finished Airing,Adventure
112,Chou Henshin Cosprayers,TV,8.0,4.82,7091,13835.0,Finished Airing,Action
113,Uchuu no Stellvia,TV,26.0,7.32,4723,2835.0,Finished Airing,Action
114,Sakigake!! Cromartie Koukou,TV,26.0,7.88,1693,888.0,Finished Airing,Comedy
115,Ijigen no Sekai El-Hazard,TV,13.0,6.77,6263,5639.0,Finished Airing,Adventure
116,Shinpi no Sekai El-Hazard (TV),TV,26.0,6.93,5342,4812.0,Finished Airing,Adventure
117,Shinpi no Sekai El-Hazard,OVA,7.0,7.24,5113,3253.0,Finished Airing,Adventure
118,Shinpi no Sekai El-Hazard Season 2,OVA,4.0,6.76,6930,5683.0,Finished Airing,Adventure
119,Final Approach,TV,13.0,6.5,4050,7253.0,Finished Airing,Comedy
120,Fruits Basket,TV,26.0,7.69,435,1376.0,Finished Airing,Drama
121,Fullmetal Alchemist,TV,51.0,8.11,85,534.0,Finished Airing,Action
122,Full Moon wo Sagashite,TV,52.0,7.93,2097,801.0,Finished Airing,Comedy
123,Fushigi Yuugi,TV,52.0,7.6,1953,1654.0,Finished Airing,Action
124,Fushigi Yuugi: Eikouden,OVA,4.0,6.79,5411,5556.0,Finished Airing,Adventure
125,Futakoi,TV,13.0,6.41,4047,7836.0,Finished Airing,Comedy
126,Futakoi Alternative,TV,13.0,6.83,4279,5330.0,Finished Airing,Comedy
127,Gate Keepers,TV,24.0,6.9,4932,4960.0,Finished Airing,Action
128,Gate Keepers 21,OVA,6.0,6.73,6613,5890.0,Finished Airing,Action
129,Gensoumaden Saiyuuki,TV,50.0,7.53,3168,1900.0,Finished Airing,Action
130,Saiyuuki Reload,TV,25.0,7.36,4022,2605.0,Finished Airing,Action
131,Saiyuuki Reload Gunlock,TV,26.0,7.37,4838,2546.0,Finished Airing,Action
132,GetBackers,TV,49.0,7.56,1945,1772.0,Finished Airing,Action
133,Green Green,TV,12.0,6.12,2023,9508.0,Finished Airing,Comedy
134,Gunslinger Girl,TV,13.0,7.38,1337,2522.0,Finished Airing,Action
135,Hikaru no Go,TV,75.0,8.07,1728,584.0,Finished Airing,Comedy
136,Hunter x Hunter,TV,62.0,8.43,380,186.0,Finished Airing,Action
137,Hunter x Hunter: Original Video Animation,OVA,8.0,8.31,1868,291.0,Finished Airing,Action
138,Hunter x Hunter: Greed Island,OVA,8.0,8.18,1481,438.0,Finished Airing,Action
139,Hunter x Hunter: Greed Island Final,OVA,14.0,8.25,1668,353.0,Finished Airing,Action
141,Jinki:Extend,TV,12.0,6.04,6252,9974.0,Finished Airing,Sci-Fi
142,Kamikaze Kaitou Jeanne,TV,44.0,7.47,3116,2137.0,Finished Airing,Action
143,Kannazuki no Miko,TV,12.0,6.8,2749,5486.0,Finished Airing,Action
144,Kanon,TV,13.0,7.06,2878,4206.0,Finished Airing,Drama
145,Kareshi Kanojo no Jijou,TV,26.0,7.6,1087,1633.0,Finished Airing,Comedy
146,Kono Minikuku mo Utsukushii Sekai,TV,12.0,6.69,3011,6110.0,Finished Airing,Comedy
147,Kimi ga Nozomu Eien,TV,14.0,7.16,1721,3699.0,Finished Airing,Drama
148,Kita e.: Diamond Dust Drops,TV,12.0,6.55,6879,6942.0,Finished Airing,Drama
149,Loveless,TV,12.0,6.71,1743,5966.0,Finished Airing,Boys Love
150,Blood+,TV,50.0,7.6,664,1647.0,Finished Airing,Action
151,Re: Cutie Honey,OVA,3.0,7.14,4276,3811.0,Finished Airing,Action
152,Solty Rei,TV,24.0,7.24,4316,3233.0,Finished Airing,Action
153,Juuni Kokuki,TV,45.0,8.01,1575,671.0,Finished Airing,Action
154,Shaman King,TV,64.0,7.73,692,1245.0,Finished Airing,Action
155,X/1999,Movie,1.0,6.56,3784,6872.0,Finished Airing,Action
156,X,TV,24.0,7.38,2505,2543.0,Finished Airing,Action
157,Mahou Sensei Negima!,TV,26.0,6.92,1731,4866.0,Finished Airing,Action
158,Maria-sama ga Miteru,TV,13.0,7.28,2753,3027.0,Finished Airing,Drama
159,Boukyaku no Senritsu,TV,24.0,6.25,5287,8795.0,Finished Airing,Action
160,"Ima, Soko ni Iru Boku",TV,13.0,7.57,1645,1740.0,Finished Airing,Adventure
161,Peace Maker Kurogane,TV,24.0,7.29,3112,2957.0,Finished Airing,Action
162,Pita Ten,TV,26.0,6.92,4800,4881.0,Finished Airing,Comedy
163,Power Stone,TV,26.0,6.46,7264,7504.0,Finished Airing,Adventure
164,Mononoke Hime,Movie,1.0,8.67,106,76.0,Finished Airing,Action
165,RahXephon,TV,26.0,7.37,1966,2557.0,Finished Airing,Action
166,Samurai 7,TV,26.0,7.43,1838,2285.0,Finished Airing,Action
167,Scrapped Princess,TV,24.0,7.36,2279,2606.0,Finished Airing,Action
168,s.CRY.ed,TV,26.0,7.35,2519,2666.0,Finished Airing,Action
169,Shingetsutan Tsukihime,TV,12.0,6.78,1492,5601.0,Finished Airing,Action
170,Slam Dunk,TV,101.0,8.55,809,129.0,Finished Airing,Sports
171,Strange Dawn,TV,13.0,6.24,8034,8846.0,Finished Airing,Adventure
173,Tactics,TV,25.0,7.18,3773,3568.0,Finished Airing,Mystery
174,Tenjou Tenge,TV,24.0,6.86,1350,5161.0,Finished Airing,Action
175,Tokyo Underground,TV,26.0,6.58,4381,6772.0,Finished Airing,Action
176,Triangle Heart: Sweet Songs Forever,OVA,4.0,6.09,7731,9721.0,Finished Airing,Adventure
177,Tsubasa Chronicle,TV,26.0,7.51,1140,1991.0,Finished Airing,Action
178,Ultra Maniac,TV,26.0,7.15,4118,3763.0,Finished Airing,Comedy
179,Ultra Maniac OVA,OVA,1.0,6.62,8596,6523.0,Finished Airing,Comedy
180,Vandread,TV,13.0,7.15,2490,3743.0,Finished Airing,Action
181,Vandread: The Second Stage,TV,13.0,7.37,3212,2555.0,Finished Airing,Action
182,Tenkuu no Escaflowne,TV,26.0,7.65,1538,1494.0,Finished Airing,Action
183,Whistle!,TV,39.0,7.36,5812,2617.0,Finished Airing,Sports
184,Xenosaga The Animation,TV,12.0,6.32,5100,8338.0,Finished Airing,Action
185,Initial D First Stage,TV,26.0,8.36,602,240.0,Finished Airing,Action
186,Initial D Second Stage,TV,13.0,8.19,1059,425.0,Finished Airing,Action
187,Initial D Third Stage,Movie,1.0,7.91,1330,841.0,Finished Airing,Action
188,Gosenzo Sane,OVA,4.0,6.13,10282,,Finished Airing,Comedy
189,Love Hina,TV,24.0,7.09,965,4047.0,Finished Airing,Comedy
190,Love Hina Again,OVA,3.0,7.2,2503,3459.0,Finished Airing,Comedy
191,Love Hina Christmas Special: Silent Eve,TV Special,1.0,7.3,3123,2893.0,Finished Airing,Comedy
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,TV Special,1.0,7.17,3276,3644.0,Finished Airing,Adventure
193,Maburaho,TV,24.0,6.72,2289,5924.0,Finished Airing,Comedy
194,Macross Zero,OVA,5.0,7.48,3816,2089.0,Finished Airing,Action
195,Onegai☆Teacher,TV,12.0,7.09,1429,4059.0,Finished Airing,Drama
196,Onegai☆Twins,TV,12.0,6.8,2402,5498.0,Finished Airing,Comedy
197,Rizelmine,TV,24.0,6.49,4705,7309.0,Finished Airing,Comedy
198,Speed Grapher,TV,24.0,7.29,2008,2972.0,Finished Airing,Action
199,Sen to Chihiro no Kamikakushi,Movie,1.0,8.77,44,40.0,Finished Airing,Adventure
200,Tenshi na Konamaiki,TV,50.0,7.42,4465,2344.0,Finished Airing,Comedy
201,Video Girl Ai,OVA,6.0,7.19,4268,3510.0,Finished Airing,Comedy
202,Wolf's Rain,TV,26.0,7.79,760,1096.0,Finished Airing,Action
203,Words Worth,OVA,5.0,6.72,7166,,Finished Airing,Adventure
204,Yumeria,TV,12.0,6.05,4499,9909.0,Finished Airing,Action
205,Samurai Champloo,TV,26.0,8.52,109,143.0,Finished Airing,Action
206,Lodoss-tou Senki: Eiyuu Kishi Den,TV,27.0,7.11,3993,3969.0,Finished Airing,Action
207,Lodoss-tou Senki,OVA,13.0,7.32,2468,2809.0,Finished Airing,Action
208,R.O.D: Read or Die,OVA,3.0,7.61,2796,1629.0,Finished Airing,Action
209,R.O.D: The TV,TV,26.0,7.52,2806,1971.0,Finished Airing,Action
210,Ranma ½,TV,161.0,7.77,967,1153.0,Finished Airing,Action
211,Pure Mail,OVA,2.0,6.18,9836,,Finished Airing,Hentai
212,Project A-Ko,Movie,1.0,6.85,4920,5218.0,Finished Airing,Action
213,Pia Carrot e Youkoso!!,OVA,3.0,5.95,9650,,Finished Airing,Comedy
214,Pia Carrot e Youkoso!! 2,OVA,3.0,6.1,10756,,Finished Airing,Comedy
215,Pia Carrot e Youkoso!! 2 DX,OVA,6.0,6.19,10541,9123.0,Finished Airing,Comedy
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Movie,1.0,5.83,10309,11104.0,Finished Airing,Comedy
217,Shin Angel,OVA,5.0,6.27,10206,,Finished Airing,Comedy
218,Kidou Senkan Nadesico,TV,26.0,7.49,3154,2051.0,Finished Airing,Action
219,Kidou Senkan Nadesico: The Prince of Darkness,Movie,1.0,6.72,5524,5917.0,Finished Airing,Action
220,Kuro no Danshou,OVA,4.0,5.66,10537,,Finished Airing,Horror
221,Mezzo Forte,OVA,2.0,6.62,4044,,Finished Airing,Action
222,Mezzo DSA,TV,13.0,6.62,4786,6563.0,Finished Airing,Action
223,Dragon Ball,TV,153.0,7.98,150,714.0,Finished Airing,Action
225,Dragon Ball GT,TV,64.0,6.51,354,7166.0,Finished Airing,Action
226,Elfen Lied,TV,13.0,7.46,78,2183.0,Finished Airing,Action
227,FLCL,OVA,6.0,8.04,229,631.0,Finished Airing,Action
228,Jigoku Shoujo,TV,26.0,7.6,694,1631.0,Finished Airing,Horror
229,Ninin ga Shinobuden,TV,12.0,6.87,4046,5118.0,Finished Airing,Comedy
230,Air Master,TV,27.0,6.94,3785,4736.0,Finished Airing,Action
231,Asagiri no Miko,TV,26.0,6.1,7332,9647.0,Finished Airing,Action
232,Cardcaptor Sakura,TV,70.0,8.18,526,433.0,Finished Airing,Adventure
233,Daa! Daa! Daa!,TV,78.0,7.63,4659,1546.0,Finished Airing,Comedy
234,Dan Doh!!,TV,26.0,6.63,9154,6453.0,Finished Airing,Adventure
235,Meitantei Conan,TV,,8.18,707,446.0,Currently Airing,Adventure
236,E's Otherwise,TV,26.0,6.58,5584,6744.0,Finished Airing,Action
237,Koukyoushihen Eureka Seven,TV,50.0,8.05,552,613.0,Finished Airing,Action
238,Rekka no Honoo,TV,42.0,7.34,2838,2735.0,Finished Airing,Action
239,Gankutsuou,TV,24.0,8.11,1020,535.0,Finished Airing,Award Winning
240,Genshiken,TV,12.0,7.63,1410,1549.0,Finished Airing,Slice of Life
241,Girls Bravo: First Season,TV,11.0,6.35,1635,8188.0,Finished Airing,Comedy
242,Gokusen,TV,13.0,7.42,3376,2370.0,Finished Airing,Action
243,Gravitation,TV,13.0,6.9,1979,4945.0,Finished Airing,Boys Love
244,Agatha Christie no Meitantei Poirot to Marple,TV,39.0,6.88,7424,5060.0,Finished Airing,Mystery
245,Great Teacher Onizuka,TV,43.0,8.68,220,71.0,Finished Airing,Comedy
246,Groove Adventure Rave,TV,51.0,7.2,2228,3451.0,Finished Airing,Action
247,Harukanaru Toki no Naka de: Hachiyou Shou,TV,26.0,6.99,4720,4527.0,Finished Airing,Fantasy
248,Ichigo 100%,TV,12.0,6.61,2046,6625.0,Finished Airing,Comedy
249,InuYasha,TV,167.0,7.87,246,908.0,Finished Airing,Action
250,Konjiki no Gash Bell!!,TV,150.0,7.55,1869,1841.0,Finished Airing,Action
251,Kyou kara Maou!,TV,78.0,7.61,2028,1587.0,Finished Airing,Adventure
252,Madlax,TV,26.0,7.01,3671,4470.0,Finished Airing,Drama
253,Jungle wa Itsumo Hare nochi Guu,TV,26.0,7.8,3489,1073.0,Finished Airing,Comedy
254,Jungle wa Itsumo Hare nochi Guu Deluxe,OVA,6.0,7.78,6088,1118.0,Finished Airing,Comedy
255,Jungle wa Itsumo Hare nochi Guu Final,OVA,7.0,7.6,6828,1632.0,Finished Airing,Award Winning
256,Hoshi no Koe,OVA,1.0,7.09,1607,4095.0,Finished Airing,Action
257,Ikkitousen,TV,13.0,6.37,1529,8089.0,Finished Airing,Action
258,Hitsuji no Uta,OVA,4.0,6.12,5361,9512.0,Finished Airing,Drama
259,Happy☆Lesson,OVA,5.0,6.58,6366,6802.0,Finished Airing,Comedy
260,Happy☆Lesson (TV),TV,13.0,6.6,4444,6655.0,Finished Airing,Comedy
261,Happy☆Lesson Advance,TV,13.0,6.76,5738,5725.0,Finished Airing,Comedy
262,Happy☆Lesson The Final,OVA,3.0,6.76,6882,5726.0,Finished Airing,Comedy
263,Hajime no Ippo,TV,75.0,8.78,353,35.0,Finished Airing,Sports
264,Hajime no Ippo: Champion Road,TV Special,1.0,8.25,1680,351.0,Finished Airing,Sports
265,Hajime no Ippo: Mashiba vs. Kimura,OVA,1.0,8.25,1993,352.0,Finished Airing,Sports
266,Gunparade March: Arata Naru Kougunka,TV,12.0,6.69,5481,6100.0,Finished Airing,Action
267,Gungrave,TV,26.0,7.81,1259,1061.0,Finished Airing,Action
268,Golden Boy,OVA,6.0,8.04,570,632.0,Finished Airing,Adventure
269,Bleach,TV,366.0,7.98,35,711.0,Finished Airing,Action
270,Hellsing,TV,13.0,7.5,287,2025.0,Finished Airing,Action
271,Gad Guard,TV,26.0,6.63,5849,6457.0,Finished Airing,Action
272,Noir,TV,26.0,7.27,2029,3055.0,Finished Airing,Action
273,Mahoutsukai ni Taisetsu na Koto,TV,12.0,6.68,4525,6198.0,Finished Airing,Fantasy
274,Kiddy Grade,TV,24.0,7.17,3491,3616.0,Finished Airing,Action
275,Love♥Love?,TV,9.0,5.83,4985,11073.0,Finished Airing,Comedy
276,Mahoromatic: Automatic Maiden,TV,12.0,7.13,2913,3870.0,Finished Airing,Comedy
277,Mahoromatic: Motto Utsukushii Mono,TV,14.0,7.12,4181,3915.0,Finished Airing,Comedy
278,Viewtiful Joe,TV,51.0,6.76,6260,5696.0,Finished Airing,Action
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,TV,13.0,7.06,3771,4209.0,Finished Airing,Horror
280,Animal Yokochou,TV,51.0,7.02,10025,4384.0,Finished Airing,Adventure
281,Akane Maniax,OVA,3.0,5.73,5342,11552.0,Finished Airing,Comedy
282,Angel Heart,TV,50.0,7.25,5326,3195.0,Finished Airing,Action
283,Akage no Anne,TV,50.0,7.85,3410,963.0,Finished Airing,Drama
284,Area 88 (TV),TV,12.0,6.98,5794,4574.0,Finished Airing,Action
285,Argento Soma,TV,25.0,6.74,4471,5797.0,Finished Airing,Action
286,B'T X,TV,25.0,7.01,6211,4445.0,Finished Airing,Adventure
287,Grappler Baki (TV),TV,24.0,7.45,1619,2214.0,Finished Airing,Sports
288,Bakuten Shoot Beyblade,TV,51.0,6.8,2039,5466.0,Finished Airing,Adventure
289,Comic Party,TV,13.0,6.56,5132,6878.0,Finished Airing,Comedy
290,Seikai no Monshou,TV,13.0,7.62,3215,1573.0,Finished Airing,Action
291,D.C.S.S: Da Capo Second Season,TV,26.0,6.92,4167,4851.0,Finished Airing,Comedy
292,Dear Boys,TV,26.0,6.76,4981,5712.0,Finished Airing,Drama
293,Di Gi Charat,TV,16.0,6.82,4595,5392.0,Finished Airing,Comedy
294,Divergence Eve,TV,13.0,5.9,5937,10740.0,Finished Airing,Adventure
295,Divergence Eve 2: Misaki Chronicles,TV,13.0,6.28,7440,8626.0,Finished Airing,Adventure
296,Dragon Drive,TV,38.0,6.69,4871,6093.0,Finished Airing,Action
297,Grenadier: Hohoemi no Senshi,TV,12.0,6.67,3150,6264.0,Finished Airing,Action
298,.hack//Tasogare no Udewa Densetsu,TV,12.0,6.55,2859,6956.0,Finished Airing,Adventure
299,.hack//Liminality,OVA,4.0,6.58,4174,6781.0,Finished Airing,Mystery
300,3x3 Eyes,OVA,4.0,6.7,4416,6059.0,Finished Airing,Action
301,Cinderella Boy,TV,13.0,6.32,7443,8346.0,Finished Airing,Action
302,Mirai Shounen Conan,TV,26.0,8.09,3222,565.0,Finished Airing,Adventure
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,TV,48.0,6.87,4973,5081.0,Finished Airing,Comedy
304,Aa! Megami-sama! Movie,Movie,1.0,7.53,3675,1889.0,Finished Airing,Comedy
305,Abashiri Ikka,OVA,4.0,5.29,8999,13114.0,Finished Airing,Action
306,Abenobashi Mahou☆Shoutengai,TV,13.0,7.21,2362,3406.0,Finished Airing,Award Winning
307,Kerokko Demetan,TV,39.0,6.06,12325,9859.0,Finished Airing,Comedy
